symbol,open_time_ms,open_time_utc,open,high,low,close,volume
ETHUSDC,1679425200000,2023-03-21 19:00:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425260000,2023-03-21 19:01:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425320000,2023-03-21 19:02:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425380000,2023-03-21 19:03:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425440000,2023-03-21 19:04:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425500000,2023-03-21 19:05:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425560000,2023-03-21 19:06:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425620000,2023-03-21 19:07:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425680000,2023-03-21 19:08:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425740000,2023-03-21 19:09:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425800000,2023-03-21 19:10:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425860000,2023-03-21 19:11:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425920000,2023-03-21 19:12:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679425980000,2023-03-21 19:13:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426040000,2023-03-21 19:14:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426100000,2023-03-21 19:15:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426160000,2023-03-21 19:16:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426220000,2023-03-21 19:17:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426280000,2023-03-21 19:18:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426340000,2023-03-21 19:19:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426400000,2023-03-21 19:20:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426460000,2023-03-21 19:21:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426520000,2023-03-21 19:22:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426580000,2023-03-21 19:23:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426640000,2023-03-21 19:24:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426700000,2023-03-21 19:25:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426760000,2023-03-21 19:26:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426820000,2023-03-21 19:27:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426880000,2023-03-21 19:28:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679426940000,2023-03-21 19:29:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679427000000,2023-03-21 19:30:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679427060000,2023-03-21 19:31:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679427120000,2023-03-21 19:32:00,1580.00,1580.00,1580.00,1580.00,0.0000
ETHUSDC,1679427180000,2023-03-21 19:33:00,1580.00,1580.00,1580.00,1580.00,0.0000
