symbol,open_time_ms,open_time_utc,open,high,low,close,volume
BTCUSDT,1679425200000,2023-03-21 19:00:00,28133.11,28137.63,28114.39,28115.99,1.05596
BTCUSDT,1679425260000,2023-03-21 19:01:00,28127.40,28138.02,28114.39,28137.47,0.55205
BTCUSDT,1679425320000,2023-03-21 19:02:00,28132.05,28132.05,28102.40,28125.88,0.71957
BTCUSDT,1679425380000,2023-03-21 19:03:00,28124.00,28127.59,28107.28,28107.28,0.25938
BTCUSDT,1679425440000,2023-03-21 19:04:00,28109.56,28125.74,28109.56,28114.37,1.08613
BTCUSDT,1679425500000,2023-03-21 19:05:00,28110.32,28114.38,28102.03,28108.14,0.37748
BTCUSDT,1679425560000,2023-03-21 19:06:00,28108.14,28120.33,28099.07,28120.33,2.07396
BTCUSDT,1679425620000,2023-03-21 19:07:00,28120.33,28167.19,28120.33,28167.19,1.70809
BTCUSDT,1679425680000,2023-03-21 19:08:00,28170.67,28184.92,28170.67,28170.72,1.16883
BTCUSDT,1679425740000,2023-03-21 19:09:00,28166.11,28176.13,28143.92,28148.65,2.37694
BTCUSDT,1679425800000,2023-03-21 19:10:00,28150.73,28150.73,28125.63,28125.63,0.75968
BTCUSDT,1679425860000,2023-03-21 19:11:00,28124.66,28135.20,28123.36,28123.73,0.74529
BTCUSDT,1679425920000,2023-03-21 19:12:00,28126.63,28161.90,28126.63,28153.50,1.44429
BTCUSDT,1679425980000,2023-03-21 19:13:00,28154.83,28165.57,28143.82,28143.82,0.16499
BTCUSDT,1679426040000,2023-03-21 19:14:00,28157.73,28157.73,28125.64,28125.64,0.32918
BTCUSDT,1679426100000,2023-03-21 19:15:00,28125.64,28129.66,28108.77,28113.61,0.25883
BTCUSDT,1679426160000,2023-03-21 19:16:00,28108.93,28111.73,28088.14,28100.91,0.78320
BTCUSDT,1679426220000,2023-03-21 19:17:00,28100.91,28137.28,28100.91,28131.27,1.14822
BTCUSDT,1679426280000,2023-03-21 19:18:00,28133.43,28138.71,28120.02,28120.04,0.85356
BTCUSDT,1679426340000,2023-03-21 19:19:00,28134.92,28134.92,28123.04,28130.82,0.12015
BTCUSDT,1679426400000,2023-03-21 19:20:00,28130.83,28132.34,28125.51,28129.87,0.72345
BTCUSDT,1679426460000,2023-03-21 19:21:00,28128.44,28140.60,28124.18,28136.88,0.19215
BTCUSDT,1679426520000,2023-03-21 19:22:00,28139.79,28144.85,28130.84,28142.29,0.10272
BTCUSDT,1679426580000,2023-03-21 19:23:00,28136.89,28156.67,28136.89,28156.67,0.74840
BTCUSDT,1679426640000,2023-03-21 19:24:00,28150.32,28152.49,28133.25,28143.98,0.77899
BTCUSDT,1679426700000,2023-03-21 19:25:00,28147.22,28147.22,28114.39,28119.56,0.34832
BTCUSDT,1679426760000,2023-03-21 19:26:00,28116.47,28132.87,28110.83,28132.87,0.66899
BTCUSDT,1679426820000,2023-03-21 19:27:00,28136.87,28155.11,28134.06,28155.11,0.56163
BTCUSDT,1679426880000,2023-03-21 19:28:00,28153.33,28161.76,28149.07,28152.09,0.59852
BTCUSDT,1679426940000,2023-03-21 19:29:00,28150.57,28157.24,28141.69,28154.93,0.21523
BTCUSDT,1679427000000,2023-03-21 19:30:00,28155.77,28165.30,28149.64,28154.54,0.09925
BTCUSDT,1679427060000,2023-03-21 19:31:00,28154.75,28154.75,28131.28,28145.30,0.43059
BTCUSDT,1679427120000,2023-03-21 19:32:00,28140.39,28157.54,28133.59,28146.43,0.78181
BTCUSDT,1679427180000,2023-03-21 19:33:00,28151.00,28154.64,28142.14,28151.34,0.54877
BTCUSDT,1679427240000,2023-03-21 19:34:00,28144.27,28152.92,28136.89,28136.89,1.36497
BTCUSDT,1679427300000,2023-03-21 19:35:00,28136.89,28136.90,28127.31,28133.57,0.28332
BTCUSDT,1679427360000,2023-03-21 19:36:00,28133.57,28157.25,28132.30,28140.05,0.98057
BTCUSDT,1679427420000,2023-03-21 19:37:00,28142.50,28153.14,28142.49,28149.63,0.14715
BTCUSDT,1679427480000,2023-03-21 19:38:00,28146.65,28152.77,28135.16,28152.76,0.53187
BTCUSDT,1679427540000,2023-03-21 19:39:00,28142.57,28170.73,28142.57,28170.72,0.88319
BTCUSDT,1679427600000,2023-03-21 19:40:00,28166.79,28168.11,28155.67,28164.06,0.40861
BTCUSDT,1679427660000,2023-03-21 19:41:00,28152.67,28200.83,28146.44,28200.83,0.69408
BTCUSDT,1679427720000,2023-03-21 19:42:00,28191.37,28205.73,28184.17,28189.97,0.63830
BTCUSDT,1679427780000,2023-03-21 19:43:00,28192.89,28194.85,28181.01,28186.66,0.27607
BTCUSDT,1679427840000,2023-03-21 19:44:00,28198.31,28224.28,28198.31,28221.67,1.34116
BTCUSDT,1679427900000,2023-03-21 19:45:00,28211.21,28211.21,28163.39,28163.39,0.69792
BTCUSDT,1679427960000,2023-03-21 19:46:00,28159.42,28159.42,28144.20,28154.63,0.04609
BTCUSDT,1679428020000,2023-03-21 19:47:00,28159.41,28186.57,28159.41,28186.57,1.02397
BTCUSDT,1679428080000,2023-03-21 19:48:00,28191.05,28191.05,28159.41,28174.37,0.73947
BTCUSDT,1679428140000,2023-03-21 19:49:00,28173.23,28185.51,28165.63,28176.20,1.44801
BTCUSDT,1679428200000,2023-03-21 19:50:00,28178.19,28186.43,28155.91,28186.39,0.79420
BTCUSDT,1679428260000,2023-03-21 19:51:00,28170.68,28191.33,28170.68,28180.59,0.19059
BTCUSDT,1679428320000,2023-03-21 19:52:00,28180.00,28186.81,28171.19,28171.20,0.42576
BTCUSDT,1679428380000,2023-03-21 19:53:00,28170.69,28191.08,28170.69,28191.08,0.61219
BTCUSDT,1679428440000,2023-03-21 19:54:00,28197.65,28197.65,28155.46,28159.72,1.34731
BTCUSDT,1679428500000,2023-03-21 19:55:00,28158.76,28176.30,28155.73,28164.71,0.11186
BTCUSDT,1679428560000,2023-03-21 19:56:00,28159.42,28176.31,28159.41,28159.41,0.33781
BTCUSDT,1679428620000,2023-03-21 19:57:00,28153.80,28165.03,28136.89,28146.63,0.57755
BTCUSDT,1679428680000,2023-03-21 19:58:00,28148.14,28148.14,28114.39,28121.07,0.69234
BTCUSDT,1679428740000,2023-03-21 19:59:00,28114.40,28125.63,28103.15,28125.63,0.64553
BTCUSDT,1679428800000,2023-03-21 20:00:00,28127.49,28152.64,28125.93,28131.26,0.43632
BTCUSDT,1679428860000,2023-03-21 20:01:00,28127.04,28133.95,28097.88,28108.75,2.33747
BTCUSDT,1679428920000,2023-03-21 20:02:00,28108.76,28113.94,28091.91,28101.00,0.64479
BTCUSDT,1679428980000,2023-03-21 20:03:00,28103.14,28108.75,28093.34,28108.74,0.53603
BTCUSDT,1679429040000,2023-03-21 20:04:00,28102.88,28110.46,28062.64,28080.67,1.47944
BTCUSDT,1679429100000,2023-03-21 20:05:00,28091.89,28108.76,28085.97,28101.89,0.10288
BTCUSDT,1679429160000,2023-03-21 20:06:00,28106.67,28125.61,28105.43,28113.13,1.80974
BTCUSDT,1679429220000,2023-03-21 20:07:00,28115.60,28128.58,28101.71,28110.85,1.48873
BTCUSDT,1679429280000,2023-03-21 20:08:00,28108.07,28110.50,28080.66,28080.66,0.80266
BTCUSDT,1679429340000,2023-03-21 20:09:00,28075.06,28099.15,28074.60,28091.90,0.57528
BTCUSDT,1679429400000,2023-03-21 20:10:00,28096.11,28097.51,28080.67,28085.84,0.70797
BTCUSDT,1679429460000,2023-03-21 20:11:00,28085.84,28091.90,28085.83,28086.11,0.31559
BTCUSDT,1679429520000,2023-03-21 20:12:00,28085.71,28103.13,28085.71,28103.12,0.29297
BTCUSDT,1679429580000,2023-03-21 20:13:00,28100.20,28100.20,28082.34,28084.93,0.18567
BTCUSDT,1679429640000,2023-03-21 20:14:00,28091.89,28091.89,28080.66,28080.66,0.91620
BTCUSDT,1679429700000,2023-03-21 20:15:00,28080.77,28091.89,28080.66,28083.54,0.48353
BTCUSDT,1679429760000,2023-03-21 20:16:00,28087.58,28097.52,28087.58,28089.08,0.22244
BTCUSDT,1679429820000,2023-03-21 20:17:00,28089.94,28096.85,28086.28,28096.85,0.28207
BTCUSDT,1679429880000,2023-03-21 20:18:00,28096.85,28118.43,28096.85,28118.43,0.32621
BTCUSDT,1679429940000,2023-03-21 20:19:00,28118.34,28119.84,28097.53,28099.73,0.20754
BTCUSDT,1679430000000,2023-03-21 20:20:00,28103.83,28114.38,28098.81,28099.80,0.06409
BTCUSDT,1679430060000,2023-03-21 20:21:00,28106.78,28106.79,28103.52,28103.52,0.03688
BTCUSDT,1679430120000,2023-03-21 20:22:00,28097.54,28103.14,28097.52,28103.14,0.03991
BTCUSDT,1679430180000,2023-03-21 20:23:00,28105.24,28125.62,28099.74,28100.44,1.24943
BTCUSDT,1679430240000,2023-03-21 20:24:00,28098.96,28104.13,28091.90,28094.68,0.31358
BTCUSDT,1679430300000,2023-03-21 20:25:00,28094.62,28108.76,28092.67,28108.75,0.34180
BTCUSDT,1679430360000,2023-03-21 20:26:00,28108.75,28110.22,28091.91,28110.22,1.45713
BTCUSDT,1679430420000,2023-03-21 20:27:00,28114.37,28120.00,28103.30,28115.44,0.41985
BTCUSDT,1679430480000,2023-03-21 20:28:00,28111.39,28120.00,28108.77,28119.91,1.13460
BTCUSDT,1679430540000,2023-03-21 20:29:00,28120.01,28142.50,28120.01,28136.63,0.22345
BTCUSDT,1679430600000,2023-03-21 20:30:00,28136.63,28172.61,28136.63,28153.77,0.70344
BTCUSDT,1679430660000,2023-03-21 20:31:00,28155.19,28175.83,28155.19,28165.50,0.10820
BTCUSDT,1679430720000,2023-03-21 20:32:00,28163.54,28210.98,28163.54,28208.10,2.92982
BTCUSDT,1679430780000,2023-03-21 20:33:00,28204.51,28215.17,28166.39,28176.83,1.54612
BTCUSDT,1679430840000,2023-03-21 20:34:00,28170.01,28201.82,28170.00,28201.82,1.15098
BTCUSDT,1679430900000,2023-03-21 20:35:00,28195.61,28198.79,28181.91,28192.10,0.25320
BTCUSDT,1679430960000,2023-03-21 20:36:00,28173.71,28175.21,28159.40,28171.14,0.35169
