datetime,open,high,low,close,volume
2023-03-01 00:00:00+00:00,1.05889,1.05908,1.05888,1.05905,0
2023-03-01 00:01:00+00:00,1.05905,1.05907,1.05896,1.05906,0
2023-03-01 00:02:00+00:00,1.05905,1.05916,1.05905,1.05915,0
2023-03-01 00:03:00+00:00,1.05915,1.05917,1.05915,1.05917,0
2023-03-01 00:04:00+00:00,1.05918,1.05925,1.05917,1.05917,0
2023-03-01 00:05:00+00:00,1.05918,1.05923,1.05911,1.05911,0
2023-03-01 00:06:00+00:00,1.05911,1.05912,1.05906,1.05906,0
2023-03-01 00:07:00+00:00,1.05906,1.0591,1.05904,1.05907,0
2023-03-01 00:08:00+00:00,1.05907,1.05911,1.05904,1.05905,0
2023-03-01 00:09:00+00:00,1.05903,1.05907,1.059,1.05901,0
2023-03-01 00:10:00+00:00,1.05901,1.05905,1.05892,1.05899,0
2023-03-01 00:11:00+00:00,1.059,1.05908,1.05898,1.05908,0
2023-03-01 00:12:00+00:00,1.05907,1.05916,1.05907,1.05914,0
2023-03-01 00:13:00+00:00,1.05914,1.05923,1.05912,1.05921,0
2023-03-01 00:14:00+00:00,1.05921,1.05925,1.0592,1.05921,0
2023-03-01 00:15:00+00:00,1.05922,1.05943,1.05921,1.05937,0
2023-03-01 00:16:00+00:00,1.05937,1.05942,1.05935,1.05942,0
2023-03-01 00:17:00+00:00,1.05942,1.05943,1.05935,1.05936,0
2023-03-01 00:18:00+00:00,1.05936,1.05936,1.0593,1.05932,0
2023-03-01 00:19:00+00:00,1.05933,1.05937,1.0593,1.05933,0
2023-03-01 00:20:00+00:00,1.05931,1.05937,1.05925,1.05925,0
2023-03-01 00:21:00+00:00,1.05925,1.05925,1.05914,1.05916,0
2023-03-01 00:22:00+00:00,1.05915,1.05926,1.05913,1.05926,0
2023-03-01 00:23:00+00:00,1.05925,1.05927,1.05924,1.05927,0
2023-03-01 00:24:00+00:00,1.05926,1.05936,1.05925,1.05936,0
2023-03-01 00:25:00+00:00,1.05936,1.05942,1.05932,1.05939,0
2023-03-01 00:26:00+00:00,1.05937,1.05939,1.05933,1.05938,0
2023-03-01 00:27:00+00:00,1.05938,1.05941,1.05936,1.05936,0
2023-03-01 00:28:00+00:00,1.05935,1.0595,1.05934,1.05947,0
2023-03-01 00:29:00+00:00,1.05948,1.05952,1.05943,1.05948,0
2023-03-01 00:30:00+00:00,1.05948,1.05949,1.05941,1.05942,0
2023-03-01 00:31:00+00:00,1.05943,1.05943,1.05928,1.05929,0
2023-03-01 00:32:00+00:00,1.05927,1.05934,1.05927,1.05933,0
2023-03-01 00:33:00+00:00,1.05933,1.05933,1.05927,1.05928,0
2023-03-01 00:34:00+00:00,1.05927,1.05927,1.05918,1.05922,0
2023-03-01 00:35:00+00:00,1.05923,1.05928,1.05921,1.05925,0
2023-03-01 00:36:00+00:00,1.05924,1.05929,1.05923,1.05928,0
2023-03-01 00:37:00+00:00,1.05928,1.0593,1.05926,1.05928,0
2023-03-01 00:38:00+00:00,1.05928,1.05932,1.05921,1.05925,0
2023-03-01 00:39:00+00:00,1.05926,1.05927,1.05915,1.05922,0
2023-03-01 00:40:00+00:00,1.05921,1.05926,1.05921,1.05922,0
2023-03-01 00:41:00+00:00,1.05921,1.05923,1.05918,1.05918,0
2023-03-01 00:42:00+00:00,1.05919,1.05919,1.05914,1.05916,0
2023-03-01 00:43:00+00:00,1.05917,1.05918,1.05911,1.05911,0
2023-03-01 00:44:00+00:00,1.05909,1.05913,1.05909,1.05913,0
2023-03-01 00:45:00+00:00,1.05912,1.05917,1.05912,1.05912,0
2023-03-01 00:46:00+00:00,1.0591,1.0591,1.05907,1.05908,0
2023-03-01 00:47:00+00:00,1.05908,1.0592,1.05908,1.05914,0
2023-03-01 00:48:00+00:00,1.05915,1.05918,1.05913,1.05914,0
2023-03-01 00:49:00+00:00,1.05914,1.05917,1.05913,1.05913,0
2023-03-01 00:50:00+00:00,1.05913,1.05918,1.05911,1.05912,0
2023-03-01 00:51:00+00:00,1.05913,1.05919,1.05912,1.05918,0
2023-03-01 00:52:00+00:00,1.05919,1.05924,1.05916,1.05917,0
2023-03-01 00:53:00+00:00,1.05919,1.05919,1.05916,1.05916,0
2023-03-01 00:54:00+00:00,1.05917,1.05917,1.05912,1.05913,0
2023-03-01 00:55:00+00:00,1.05912,1.05914,1.05909,1.05912,0
2023-03-01 00:56:00+00:00,1.05912,1.05912,1.05906,1.05907,0
2023-03-01 00:57:00+00:00,1.05907,1.05933,1.05907,1.05923,0
2023-03-01 00:58:00+00:00,1.05925,1.05927,1.05913,1.05913,0
2023-03-01 00:59:00+00:00,1.05914,1.05914,1.05905,1.05907,0
2023-03-01 01:00:00+00:00,1.05907,1.05913,1.05891,1.05913,0
2023-03-01 01:01:00+00:00,1.05913,1.05914,1.05902,1.05907,0
2023-03-01 01:02:00+00:00,1.05907,1.05927,1.05902,1.05925,0
2023-03-01 01:03:00+00:00,1.05924,1.0593,1.05922,1.05923,0
2023-03-01 01:04:00+00:00,1.05923,1.05932,1.05923,1.05926,0
2023-03-01 01:05:00+00:00,1.05925,1.05928,1.05919,1.05925,0
2023-03-01 01:06:00+00:00,1.05926,1.05926,1.05923,1.05923,0
2023-03-01 01:07:00+00:00,1.05924,1.0593,1.05924,1.05927,0
2023-03-01 01:08:00+00:00,1.05927,1.05927,1.0592,1.05923,0
2023-03-01 01:09:00+00:00,1.05922,1.05927,1.05922,1.05927,0
2023-03-01 01:10:00+00:00,1.05928,1.05933,1.05925,1.05931,0
2023-03-01 01:11:00+00:00,1.05931,1.05931,1.05925,1.05929,0
2023-03-01 01:12:00+00:00,1.05929,1.05943,1.05929,1.05941,0
2023-03-01 01:13:00+00:00,1.05942,1.05953,1.05941,1.05953,0
2023-03-01 01:14:00+00:00,1.05952,1.05967,1.05952,1.05963,0
2023-03-01 01:15:00+00:00,1.05962,1.05965,1.0596,1.05963,0
2023-03-01 01:16:00+00:00,1.05963,1.05966,1.05959,1.05963,0
2023-03-01 01:17:00+00:00,1.05963,1.05965,1.0596,1.05964,0
2023-03-01 01:18:00+00:00,1.05963,1.05964,1.05959,1.05959,0
2023-03-01 01:19:00+00:00,1.05961,1.05964,1.05959,1.05962,0
2023-03-01 01:20:00+00:00,1.05961,1.05962,1.05958,1.05959,0
2023-03-01 01:21:00+00:00,1.05959,1.05969,1.05959,1.05967,0
2023-03-01 01:22:00+00:00,1.05968,1.05986,1.05967,1.05977,0
2023-03-01 01:23:00+00:00,1.05978,1.05983,1.05974,1.05983,0
2023-03-01 01:24:00+00:00,1.05983,1.05997,1.05979,1.05993,0
2023-03-01 01:25:00+00:00,1.05993,1.06003,1.05979,1.0599,0
2023-03-01 01:26:00+00:00,1.05989,1.06021,1.05984,1.06014,0
2023-03-01 01:27:00+00:00,1.06017,1.06028,1.06017,1.0602,0
2023-03-01 01:28:00+00:00,1.06019,1.06021,1.05989,1.05996,0
2023-03-01 01:29:00+00:00,1.05997,1.06024,1.05994,1.06018,0
2023-03-01 01:30:00+00:00,1.06018,1.06029,1.06017,1.06024,0
2023-03-01 01:31:00+00:00,1.06024,1.06038,1.06018,1.06027,0
2023-03-01 01:32:00+00:00,1.06028,1.06033,1.06018,1.06027,0
2023-03-01 01:33:00+00:00,1.06028,1.06028,1.06017,1.06024,0
2023-03-01 01:34:00+00:00,1.06025,1.06042,1.06025,1.06037,0
2023-03-01 01:35:00+00:00,1.06041,1.06045,1.06036,1.06036,0
2023-03-01 01:36:00+00:00,1.06036,1.06048,1.06026,1.06034,0
2023-03-01 01:37:00+00:00,1.06037,1.06058,1.06034,1.06037,0
2023-03-01 01:38:00+00:00,1.06037,1.06047,1.06018,1.06021,0
