start,symbol,low,high,open,close,volume,product_id,timestamp_utc
1677628800,BTCUSDC,23134.31,23153.68,23144.37,23146.93,7.24789927,BTC-USDC,2023-03-01 00:00:00+00:00
1677628860,BTCUSDC,23142.51,23151.16,23146.77,23143.43,4.98869613,BTC-USDC,2023-03-01 00:01:00+00:00
1677628920,BTCUSDC,23143,23161.56,23143.67,23159.67,6.6070882,BTC-USDC,2023-03-01 00:02:00+00:00
1677628980,BTCUSDC,23158.51,23164.99,23159.67,23162.14,2.64326907,BTC-USDC,2023-03-01 00:03:00+00:00
1677629040,BTCUSDC,23162.15,23180.46,23162.15,23180,4.74295531,BTC-USDC,2023-03-01 00:04:00+00:00
1677629100,BTCUSDC,23172.87,23183.42,23180.01,23176.12,10.80989798,BTC-USDC,2023-03-01 00:05:00+00:00
1677629160,BTCUSDC,23156.37,23176.05,23175.57,23156.73,1.11513336,BTC-USDC,2023-03-01 00:06:00+00:00
1677629220,BTCUSDC,23139.86,23156.74,23156.72,23139.87,2.33758041,BTC-USDC,2023-03-01 00:07:00+00:00
1677629280,BTCUSDC,23139.86,23156.33,23139.87,23144.4,4.01425281,BTC-USDC,2023-03-01 00:08:00+00:00
1677629340,BTCUSDC,23124.01,23144.4,23144.4,23125.01,7.00258879,BTC-USDC,2023-03-01 00:09:00+00:00
1677629400,BTCUSDC,23123.21,23139.31,23125.01,23128.19,5.93689405,BTC-USDC,2023-03-01 00:10:00+00:00
1677629460,BTCUSDC,23118.58,23138.24,23128.2,23138.24,4.18274198,BTC-USDC,2023-03-01 00:11:00+00:00
1677629520,BTCUSDC,23138.01,23167.26,23138.01,23164.01,1.61851963,BTC-USDC,2023-03-01 00:12:00+00:00
1677629580,BTCUSDC,23161.33,23172.27,23164.01,23169.01,3.36140235,BTC-USDC,2023-03-01 00:13:00+00:00
1677629640,BTCUSDC,23156.22,23169.01,23169,23163.47,3.20901903,BTC-USDC,2023-03-01 00:14:00+00:00
1677629700,BTCUSDC,23164.22,23177.59,23164.6,23166.19,7.49788285,BTC-USDC,2023-03-01 00:15:00+00:00
