start,symbol,low,high,open,close,volume,product_id,timestamp_utc
1677628800,BTCUSDT,23135.24,23147.85,23143.31,23144.92,1.57898625,BTC-USDT,2023-03-01 00:00:00+00:00
1677628860,BTCUSDT,23140.44,23148.35,23142.87,23142.71,0.17660897,BTC-USDT,2023-03-01 00:01:00+00:00
1677628920,BTCUSDT,23140.87,23157.29,23142.71,23155.94,0.1915519,BTC-USDT,2023-03-01 00:02:00+00:00
1677628980,BTCUSDT,23157.5,23161.33,23157.51,23161.33,0.00092102,BTC-USDT,2023-03-01 00:03:00+00:00
1677629040,BTCUSDT,23161.33,23172.49,23161.33,23170.36,0.29206508,BTC-USDT,2023-03-01 00:04:00+00:00
1677629160,BTCUSDT,23145.27,23157.63,23157.63,23145.27,0.06224,BTC-USDT,2023-03-01 00:06:00+00:00
1677629220,BTCUSDT,23138.99,23141.26,23141.26,23138.99,0.00744459,BTC-USDT,2023-03-01 00:07:00+00:00
1677629280,BTCUSDT,23138.99,23151.36,23139.36,23138.99,0.37050197,BTC-USDT,2023-03-01 00:08:00+00:00
1677629340,BTCUSDT,23119.62,23133.55,23133.55,23119.62,0.15172638,BTC-USDT,2023-03-01 00:09:00+00:00
1677629400,BTCUSDT,23122.65,23132.64,23126.89,23122.65,0.37677705,BTC-USDT,2023-03-01 00:10:00+00:00
1677629580,BTCUSDT,23159.5,23163.61,23162.56,23159.5,0.17750061,BTC-USDT,2023-03-01 00:13:00+00:00
1677629640,BTCUSDT,23154.67,23163.55,23159.5,23163.55,0.22775845,BTC-USDT,2023-03-01 00:14:00+00:00
1677629700,BTCUSDT,23166.38,23171.04,23170.42,23168.44,0.11836816,BTC-USDT,2023-03-01 00:15:00+00:00
1677629760,BTCUSDT,23165.2,23165.4,23165.4,23165.2,0.17623686,BTC-USDT,2023-03-01 00:16:00+00:00
1677629820,BTCUSDT,23171.36,23182.76,23174.78,23171.36,0.16202311,BTC-USDT,2023-03-01 00:17:00+00:00
1677629880,BTCUSDT,23173.97,23175.67,23173.97,23175.67,0.04010103,BTC-USDT,2023-03-01 00:18:00+00:00
1677630000,BTCUSDT,23175.21,23183.76,23182.42,23183.76,0.74228039,BTC-USDT,2023-03-01 00:20:00+00:00
1677630060,BTCUSDT,23192.85,23194.96,23194.96,23193.2,0.15402104,BTC-USDT,2023-03-01 00:21:00+00:00
1677630120,BTCUSDT,23196.98,23214.96,23196.98,23199.42,0.54759666,BTC-USDT,2023-03-01 00:22:00+00:00
1677630180,BTCUSDT,23190.43,23195.06,23195.06,23190.58,0.13841915,BTC-USDT,2023-03-01 00:23:00+00:00
1677630240,BTCUSDT,23189.24,23206.87,23189.64,23198.81,0.76282764,BTC-USDT,2023-03-01 00:24:00+00:00
1677630300,BTCUSDT,23184.42,23184.42,23184.42,23184.42,0.0009,BTC-USDT,2023-03-01 00:25:00+00:00
