file,schema,gap_start_utc,gap_end_utc,n_missing_bars,action
coinbase_USDTEUR_1m_20230301_20230321.csv,A,2023-03-05 03:38:00+00:00,2023-03-05 04:22:00+00:00,45,DROPPED -- not imputed
coinbase_USDTEUR_1m_20230301_20230321.csv,A,2023-03-05 05:44:00+00:00,2023-03-05 06:20:00+00:00,37,DROPPED -- not imputed
coinbase_USDTEUR_1m_20230301_20230321.csv,A,2023-03-05 06:22:00+00:00,2023-03-05 06:53:00+00:00,32,DROPPED -- not imputed
coinbase_USDTEUR_1m_20230301_20230321.csv,A,2023-03-19 04:13:00+00:00,2023-03-19 04:45:00+00:00,33,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-01 05:54:00+00:00,2023-03-01 06:26:00+00:00,33,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-01 10:52:00+00:00,2023-03-01 11:26:00+00:00,35,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-01 11:53:00+00:00,2023-03-01 12:29:00+00:00,37,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-03 05:03:00+00:00,2023-03-03 05:33:00+00:00,31,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-03 06:54:00+00:00,2023-03-03 07:27:00+00:00,34,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-03 12:00:00+00:00,2023-03-03 12:38:00+00:00,39,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-03 22:02:00+00:00,2023-03-03 22:34:00+00:00,33,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-04 07:36:00+00:00,2023-03-04 08:29:00+00:00,54,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-04 16:36:00+00:00,2023-03-04 22:01:00+00:00,326,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-04 22:30:00+00:00,2023-03-04 23:03:00+00:00,34,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-04 23:21:00+00:00,2023-03-05 00:02:00+00:00,42,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 03:23:00+00:00,2023-03-05 04:01:00+00:00,39,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 04:28:00+00:00,2023-03-05 05:05:00+00:00,38,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 06:17:00+00:00,2023-03-05 07:02:00+00:00,46,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 07:17:00+00:00,2023-03-05 08:03:00+00:00,47,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 09:28:00+00:00,2023-03-05 10:04:00+00:00,37,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 10:17:00+00:00,2023-03-05 11:04:00+00:00,48,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 12:35:00+00:00,2023-03-05 13:08:00+00:00,34,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 13:30:00+00:00,2023-03-05 14:06:00+00:00,37,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 16:38:00+00:00,2023-03-05 17:10:00+00:00,33,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 20:26:00+00:00,2023-03-05 21:03:00+00:00,38,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 22:17:00+00:00,2023-03-05 22:49:00+00:00,33,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-05 23:19:00+00:00,2023-03-05 23:59:00+00:00,41,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-06 03:19:00+00:00,2023-03-06 04:03:00+00:00,45,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-06 05:22:00+00:00,2023-03-06 05:52:00+00:00,31,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-06 07:17:00+00:00,2023-03-06 07:51:00+00:00,35,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-06 17:13:00+00:00,2023-03-06 17:44:00+00:00,32,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-06 20:23:00+00:00,2023-03-06 21:00:00+00:00,38,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-06 23:22:00+00:00,2023-03-07 00:05:00+00:00,44,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-07 02:23:00+00:00,2023-03-07 03:02:00+00:00,40,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-07 03:18:00+00:00,2023-03-07 04:00:00+00:00,43,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-07 04:15:00+00:00,2023-03-07 04:50:00+00:00,36,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-07 05:13:00+00:00,2023-03-07 06:03:00+00:00,51,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-07 06:17:00+00:00,2023-03-07 07:00:00+00:00,44,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-07 12:20:00+00:00,2023-03-07 13:01:00+00:00,42,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-07 13:16:00+00:00,2023-03-07 14:01:00+00:00,46,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-07 23:21:00+00:00,2023-03-07 23:57:00+00:00,37,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-08 02:13:00+00:00,2023-03-08 02:45:00+00:00,33,DROPPED -- not imputed
coinbase_USDTUSDC_1m_20230301_20230321.csv,A,2023-03-08 03:20:00+00:00,2023-03-08 04:00:00+00:00,41,DROPPED -- not imputed
