symbol,datetime,open,high,low,close,volume,trades,imputed,gap_size,impute_method
BTCUSDT,2023-03-01 00:01:00+00:00,23148.0,23148.0,23148.0,23148.0,0.00233281,1,,,
BTCUSDT,2023-03-01 00:02:00+00:00,23148.0,23155.9,23148.0,23155.9,0.01791651,3,,,
BTCUSDT,2023-03-01 00:03:00+00:00,23148.0,23155.9,23148.0,23155.9,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-01 00:04:00+00:00,23163.0,23163.0,23163.0,23163.0,0.0178917,1,,,
BTCUSDT,2023-03-01 00:05:00+00:00,23178.7,23178.7,23178.7,23178.7,0.00026688,1,,,
BTCUSDT,2023-03-01 00:06:00+00:00,23178.7,23178.7,23178.7,23178.7,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-01 00:07:00+00:00,23153.3,23153.3,23144.4,23144.4,0.00928485,3,,,
BTCUSDT,2023-03-01 00:08:00+00:00,23139.1,23139.1,23139.1,23139.1,0.00129947,1,,,
BTCUSDT,2023-03-01 00:09:00+00:00,23124.8,23124.8,23124.8,23124.8,0.01533116,1,,,
BTCUSDT,2023-03-01 00:10:00+00:00,23129.1,23129.1,23129.1,23129.1,0.00118475,1,,,
BTCUSDT,2023-03-01 00:11:00+00:00,23130.2,23130.2,23130.2,23130.2,0.00778938,1,,,
BTCUSDT,2023-03-01 00:12:00+00:00,23130.2,23130.2,23130.2,23130.2,0.0,0,True,1.0,LOCF
BTCUSDT,2023-03-01 00:13:00+00:00,23168.5,23171.2,23168.5,23171.2,0.05827644,3,,,
BTCUSDT,2023-03-01 00:14:00+00:00,23168.5,23171.2,23168.5,23171.2,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-01 00:15:00+00:00,23168.5,23171.2,23168.5,23171.2,0.0,0,True,2.0,LOCF
BTCUSDT,2023-03-01 00:16:00+00:00,23165.7,23170.7,23165.7,23170.7,0.0665878,2,,,
BTCUSDT,2023-03-01 00:17:00+00:00,23165.7,23170.7,23165.7,23170.7,0.0,0,True,4.0,LOCF
BTCUSDT,2023-03-01 00:18:00+00:00,23165.7,23170.7,23165.7,23170.7,0.0,0,True,4.0,LOCF
BTCUSDT,2023-03-01 00:19:00+00:00,23165.7,23170.7,23165.7,23170.7,0.0,0,True,4.0,LOCF
BTCUSDT,2023-03-01 00:20:00+00:00,23165.7,23170.7,23165.7,23170.7,0.0,0,True,4.0,LOCF
BTCUSDT,2023-03-01 00:21:00+00:00,23180.9,23181.0,23180.9,23181.0,0.01293032,4,,,
BTCUSDT,2023-03-01 00:22:00+00:00,23180.9,23215.2,23180.9,23215.2,1.63644465,14,,,
BTCUSDT,2023-03-01 00:23:00+00:00,23180.9,23215.2,23180.9,23215.2,0.0,0,True,1.0,LOCF
