symbol,time_period_start,time_period_end,price_open,price_high,price_low,price_close,volume_traded,trades_count,imputed,gap_size,impute_method
USDCUSD,2023-03-01T00:00:00.0000000Z,2023-03-01T00:01:00.0000000Z,1.0,1.0,1.0,1.0,29647.93,1,False,0,none
USDCUSD,2023-03-01T00:01:00.0000000Z,2023-03-01T00:02:00.0000000Z,0.9999,1.0,0.9999,1.0,24028.49491,3,False,0,none
USDCUSD,2023-03-01T00:02:00.0000000Z,2023-03-01T00:03:00.0000000Z,1.0,1.0,1.0,1.0,323.8016995,2,False,0,none
USDCUSD,2023-03-01T00:03:00.0000000Z,2023-03-01T00:04:00.0000000Z,1.0,1.0,1.0,1.0,0.0,0,True,1,LOCF
USDCUSD,2023-03-01T00:04:00.0000000Z,2023-03-01T00:05:00.0000000Z,1.0,1.0,0.9999,0.9999,275.638312,8,False,0,none
USDCUSD,2023-03-01T00:05:00.0000000Z,2023-03-01T00:06:00.0000000Z,0.9999,1.0,0.9999,1.0,19165.914,4,False,0,none
USDCUSD,2023-03-01T00:06:00.0000000Z,2023-03-01T00:07:00.0000000Z,0.9999,1.0,0.9999,1.0,1201401.507,21,False,0,none
USDCUSD,2023-03-01T00:07:00.0000000Z,2023-03-01T00:08:00.0000000Z,0.9999,1.0,0.9999,1.0,0.0,0,True,3,LOCF
USDCUSD,2023-03-01T00:08:00.0000000Z,2023-03-01T00:09:00.0000000Z,0.9999,1.0,0.9999,1.0,0.0,0,True,3,LOCF
USDCUSD,2023-03-01T00:09:00.0000000Z,2023-03-01T00:10:00.0000000Z,0.9999,1.0,0.9999,1.0,0.0,0,True,3,LOCF
USDCUSD,2023-03-01T00:10:00.0000000Z,2023-03-01T00:11:00.0000000Z,1.0,1.0,1.0,1.0,25.4846,1,False,0,none
USDCUSD,2023-03-01T00:11:00.0000000Z,2023-03-01T00:12:00.0000000Z,0.9999,0.9999,0.9999,0.9999,3869.572601,3,False,0,none
USDCUSD,2023-03-01T00:12:00.0000000Z,2023-03-01T00:13:00.0000000Z,0.9999,0.9999,0.9999,0.9999,0.0,0,True,1,LOCF
USDCUSD,2023-03-01T00:13:00.0000000Z,2023-03-01T00:14:00.0000000Z,1.0,1.0,1.0,1.0,264.36,1,False,0,none
USDCUSD,2023-03-01T00:14:00.0000000Z,2023-03-01T00:15:00.0000000Z,1.0,1.0,1.0,1.0,0.0,0,True,1,LOCF
USDCUSD,2023-03-01T00:15:00.0000000Z,2023-03-01T00:16:00.0000000Z,1.0,1.0,0.9999,0.9999,2997.491626,2,False,0,none
USDCUSD,2023-03-01T00:16:00.0000000Z,2023-03-01T00:17:00.0000000Z,1.0,1.0,0.9999,0.9999,0.0,0,True,2,LOCF
USDCUSD,2023-03-01T00:17:00.0000000Z,2023-03-01T00:18:00.0000000Z,1.0,1.0,0.9999,0.9999,0.0,0,True,2,LOCF
USDCUSD,2023-03-01T00:18:00.0000000Z,2023-03-01T00:19:00.0000000Z,0.9999,0.9999,0.9999,0.9999,8000.0,2,False,0,none
USDCUSD,2023-03-01T00:19:00.0000000Z,2023-03-01T00:20:00.0000000Z,0.9999,0.9999,0.9999,0.9999,0.0,0,True,1,LOCF
USDCUSD,2023-03-01T00:20:00.0000000Z,2023-03-01T00:21:00.0000000Z,0.9999,0.9999,0.9999,0.9999,37.11359998,2,False,0,none
USDCUSD,2023-03-01T00:21:00.0000000Z,2023-03-01T00:22:00.0000000Z,0.9999,0.9999,0.9999,0.9999,0.0,0,True,1,LOCF
USDCUSD,2023-03-01T00:22:00.0000000Z,2023-03-01T00:23:00.0000000Z,1.0,1.0,0.9999,0.9999,17973.95906,5,False,0,none
USDCUSD,2023-03-01T00:23:00.0000000Z,2023-03-01T00:24:00.0000000Z,1.0,1.0,0.9999,0.9999,0.0,0,True,1,LOCF
USDCUSD,2023-03-01T00:24:00.0000000Z,2023-03-01T00:25:00.0000000Z,0.9999,0.9999,0.9999,0.9999,1084.7374,1,False,0,none
USDCUSD,2023-03-01T00:25:00.0000000Z,2023-03-01T00:26:00.0000000Z,0.9999,1.0,0.9999,1.0,51029.0803,3,False,0,none
USDCUSD,2023-03-01T00:26:00.0000000Z,2023-03-01T00:27:00.0000000Z,0.9999,1.0,0.9999,1.0,0.0,0,True,3,LOCF
USDCUSD,2023-03-01T00:27:00.0000000Z,2023-03-01T00:28:00.0000000Z,0.9999,1.0,0.9999,1.0,0.0,0,True,3,LOCF
USDCUSD,2023-03-01T00:28:00.0000000Z,2023-03-01T00:29:00.0000000Z,0.9999,1.0,0.9999,1.0,0.0,0,True,3,LOCF
USDCUSD,2023-03-01T00:29:00.0000000Z,2023-03-01T00:30:00.0000000Z,0.9999,0.9999,0.9999,0.9999,3000.000059,1,False,0,none
USDCUSD,2023-03-01T00:30:00.0000000Z,2023-03-01T00:31:00.0000000Z,0.9999,0.9999,0.9999,0.9999,0.0,0,True,1,LOCF
USDCUSD,2023-03-01T00:31:00.0000000Z,2023-03-01T00:32:00.0000000Z,0.9999,0.9999,0.9999,0.9999,20387.5499,4,False,0,none
