pair,regime,start_date,end_date,observations,avg_price,price_std,realized_volatility,volatility_zscore,avg_volume,volume_std,volume_cv,volume_zscore,total_volume,median_trade_size,amihud_illiquidity,amihud_zscore,roll_measure_pct,spread_estimate_pct,market_impact,price_autocorr_1,price_autocorr_5,mean_return,return_skewness,return_kurtosis,sharpe_ratio
ETH/USDT,pre_crisis,2023-01-01,2023-03-09,85000,1538.0609527058823,146.4677790728679,52.22038483358106,0.0,9.210955282588234,16.528936064858748,1.7944866257361958,0.0,782931.19902,4.56954,1116.0283779541014,0.0,0.0,0.08602400161937157,1.1630373526191415,0.0021441741672285027,-0.00020174644792312352,2.130558037899293,-0.18566356834049105,50.22293154058205,4.079935536072893
BTC/USDC,svb_closure,2023-03-10,2023-03-10,1440,19972.4186875,134.4674221404897,77.18993779620656,,0.23145478611111112,0.7231758470963443,3.1244799869862265,,333.294892,0.046,34944.49231275689,,1.1647390106931195e-06,0.04812144050433575,1.1638739329398133,-0.011929361090020435,-0.025051705881867073,-2.406778303568505,0.703460153328489,8.677883634859478,-3.1179948737914183
BTC/USDC,peak_crisis,2023-03-11,2023-03-12,2880,21548.231777777775,539.5351285108518,155.93247394953286,,0.15315008333333333,0.4361221428661383,2.8476781296743554,,441.07223999999997,0.01414,79187.32548386342,,8.298175853814423e-06,0.1461345147334151,1.8386105958145076,-0.1727297609285249,0.020978532476390633,19.077887711913018,0.23837947547269586,16.156034810934358,12.234711108404221
BTC/USDC,fdic_announcement,2023-03-13,2023-03-13,1440,23241.618187499997,857.7772022579004,116.37299544919657,,0.12996702777777777,0.37235755832741474,2.8650155712115297,,187.15251999999998,0.0049,236962.4753608866,,3.4897956660631355e-06,0.0898608139695012,5.371802019958495,-0.0638163827506905,-0.01491410777061636,28.28879455296434,2.0148709191849803,19.002619589388495,24.308727676700567
BTC/USDC,recovery,2023-03-14,2023-03-21,11520,26445.25378125,1431.126892447237,82.37011529716887,,0.1135341732638889,0.33523097731650375,2.9526878795983498,,1307.9136760000001,0.0165,181977.318279572,,0.0,0.042328825553414884,3.4461392297060347,0.0414303020044748,-0.018467526289201494,7.196580353314455,0.18206335600826584,15.030646770721932,8.736882699934508
BTC/USDT,pre_crisis,2023-01-01,2023-03-09,85000,21631.716268117645,2568.050454953526,44.8048746648721,0.0,1.3319557784235294,2.7131092300190796,2.0369364163352706,0.0,113216.24116599999,0.48176850000000004,9107.233641305997,0.0,6.340682835885016e-07,0.07405429871291849,1.3065528939028963,-0.012313890948078988,0.009867146478014692,2.3318746912980477,-0.035799314947593974,44.76077530014969,5.204511135763277
BTC/USDT,svb_closure,2023-03-10,2023-03-10,1440,19966.21151388889,127.10710816693124,70.12898430120674,1.527536346880554,4.189157657638889,4.670366898162162,1.1148701671911996,1.05310978548227,6032.387027,2.803675,606.6272262100458,-0.009917095118106003,0.0,0.13746099167502732,0.2543024332309739,0.02702788530396306,-0.005029836552381151,-3.480222165541603,0.43776364614014235,6.246567666219244,-4.962601697742993
BTC/USDT,peak_crisis,2023-03-11,2023-03-12,2880,20415.63734375,369.2417997342524,65.8749352117694,1.2709344485770444,2.150540354166667,3.5053294597875753,1.629976137390776,0.30171456669932195,6193.55622,0.846625,15067.307474187543,0.006953223831967493,0.0,0.11295303153615051,3.32814781991301,0.05348732549983443,0.03249610310458276,16.21626219095388,2.849334102228928,44.76748141207721,24.61674100903956
BTC/USDT,fdic_announcement,2023-03-13,2023-03-13,1440,22981.584166666667,910.0071141433574,99.03134245234227,3.2709106735764903,5.185999444444445,5.136280205036095,0.9904127950762486,1.420526539579762,7467.8392,3.5865549999999997,683.6318832877922,-0.009827258879197097,0.0,0.17463946371131112,0.3545314604070364,0.036661159168741235,0.01342480465873751,32.8145607239594,2.0749739533551357,25.664595008557967,33.135530541506135
BTC/USDT,recovery,2023-03-14,2023-03-21,11520,26356.21867534722,1436.2703095302295,80.89745783191884,2.177084739886356,2.0088000528645833,2.863248337741745,1.4253525798442228,0.2494718115113611,23141.376609,0.9313549999999999,17767.743494074795,0.010103643879885826,4.546756291615814e-07,0.15240389620243303,3.5994988211609837,-0.002883287056839319,-0.002403132578158096,7.275802782235464,0.1882660679076398,14.08948876634482,8.99385836987912
