symbol,open_time_ms,open_time_utc,open,high,low,close,volume,close_time_ms,num_trades
ETHUSD,1677628800000,2023-03-01 00:00:00,1605.50000000,1606.13000000,1604.73000000,1605.80000000,86.99003000,1677628859999,87
ETHUSD,1677628860000,2023-03-01 00:01:00,1605.76000000,1605.76000000,1605.00000000,1605.20000000,39.81544000,1677628919999,55
ETHUSD,1677628920000,2023-03-01 00:02:00,1605.13000000,1605.49000000,1604.37000000,1605.06000000,86.11500000,1677628979999,83
ETHUSD,1677628980000,2023-03-01 00:03:00,1605.21000000,1605.45000000,1604.71000000,1604.95000000,29.29902000,1677629039999,38
ETHUSD,1677629040000,2023-03-01 00:04:00,1605.20000000,1605.28000000,1604.87000000,1605.20000000,8.26576000,1677629099999,17
ETHUSD,1677629100000,2023-03-01 00:05:00,1605.33000000,1605.33000000,1604.69000000,1604.90000000,18.13143000,1677629159999,32
ETHUSD,1677629160000,2023-03-01 00:06:00,1605.12000000,1605.14000000,1604.60000000,1604.71000000,15.16731000,1677629219999,25
ETHUSD,1677629220000,2023-03-01 00:07:00,1604.69000000,1604.69000000,1602.71000000,1602.71000000,44.86706000,1677629279999,94
ETHUSD,1677629280000,2023-03-01 00:08:00,1602.75000000,1603.85000000,1602.23000000,1602.72000000,52.11172000,1677629339999,79
ETHUSD,1677629340000,2023-03-01 00:09:00,1602.54000000,1602.60000000,1600.43000000,1600.64000000,64.90236000,1677629399999,108
ETHUSD,1677629400000,2023-03-01 00:10:00,1600.66000000,1601.60000000,1600.20000000,1600.89000000,68.97027000,1677629459999,104
ETHUSD,1677629460000,2023-03-01 00:11:00,1600.72000000,1601.62000000,1600.00000000,1601.62000000,61.50786000,1677629519999,81
ETHUSD,1677629520000,2023-03-01 00:12:00,1601.87000000,1605.13000000,1601.82000000,1604.59000000,116.38895000,1677629579999,187
ETHUSD,1677629580000,2023-03-01 00:13:00,1604.59000000,1605.50000000,1604.06000000,1605.19000000,41.06765000,1677629639999,58
ETHUSD,1677629640000,2023-03-01 00:14:00,1605.30000000,1605.32000000,1604.61000000,1605.19000000,25.03113000,1677629699999,40
ETHUSD,1677629700000,2023-03-01 00:15:00,1605.13000000,1606.23000000,1605.13000000,1605.46000000,33.53688000,1677629759999,64
ETHUSD,1677629760000,2023-03-01 00:16:00,1605.47000000,1605.94000000,1605.00000000,1605.75000000,36.77270000,1677629819999,57
ETHUSD,1677629820000,2023-03-01 00:17:00,1606.18000000,1606.76000000,1606.11000000,1606.76000000,47.16930000,1677629879999,75
ETHUSD,1677629880000,2023-03-01 00:18:00,1606.45000000,1606.51000000,1605.78000000,1606.41000000,12.36790000,1677629939999,20
ETHUSD,1677629940000,2023-03-01 00:19:00,1606.26000000,1606.99000000,1606.26000000,1606.99000000,11.38263000,1677629999999,23
ETHUSD,1677630000000,2023-03-01 00:20:00,1606.84000000,1606.94000000,1606.19000000,1606.94000000,22.68141000,1677630059999,38
ETHUSD,1677630060000,2023-03-01 00:21:00,1607.11000000,1607.68000000,1606.93000000,1607.38000000,16.52753000,1677630119999,39
ETHUSD,1677630120000,2023-03-01 00:22:00,1607.69000000,1609.43000000,1607.48000000,1608.00000000,71.83558000,1677630179999,116
ETHUSD,1677630180000,2023-03-01 00:23:00,1608.13000000,1608.23000000,1607.40000000,1607.54000000,15.37742000,1677630239999,24
ETHUSD,1677630240000,2023-03-01 00:24:00,1607.78000000,1609.36000000,1607.78000000,1608.36000000,24.86469000,1677630299999,40
ETHUSD,1677630300000,2023-03-01 00:25:00,1608.36000000,1608.68000000,1607.20000000,1607.20000000,12.06133000,1677630359999,26
ETHUSD,1677630360000,2023-03-01 00:26:00,1607.38000000,1608.77000000,1607.38000000,1608.37000000,37.36508000,1677630419999,41
ETHUSD,1677630420000,2023-03-01 00:27:00,1608.31000000,1608.35000000,1607.14000000,1607.28000000,65.75659000,1677630479999,58
ETHUSD,1677630480000,2023-03-01 00:28:00,1607.35000000,1607.49000000,1606.65000000,1606.75000000,50.46145000,1677630539999,50
ETHUSD,1677630540000,2023-03-01 00:29:00,1606.91000000,1606.91000000,1606.26000000,1606.75000000,21.15111000,1677630599999,39
