symbol,open_time_ms,open_time_utc,open,high,low,close,volume,imputed,gap_size,impute_method
BTCUSD,1677628800000,2023-03-01 00:00:00,23150.02,23154.84,23134.92,23147.98,3.0737,False,0,none
BTCUSD,1677628860000,2023-03-01 00:01:00,23149.23,23151.14,23143.44,23144.56,0.89188,False,0,none
BTCUSD,1677628920000,2023-03-01 00:02:00,23146.43,23161.97,23144.94,23161.97,1.32318,False,0,none
BTCUSD,1677628980000,2023-03-01 00:03:00,23158.05,23164.99,23158.05,23163.27,0.86105,False,0,none
BTCUSD,1677629040000,2023-03-01 00:04:00,23164.51,23181.87,23163.02,23181.87,1.87854,False,0,none
BTCUSD,1677629100000,2023-03-01 00:05:00,23179.39,23181.67,23172.05,23176.12,1.12203,False,0,none
BTCUSD,1677629160000,2023-03-01 00:06:00,23176.34,23176.34,23156.04,23156.56,2.81825,False,0,none
BTCUSD,1677629220000,2023-03-01 00:07:00,23153.85,23156.7,23139.38,23140.69,2.56962,False,0,none
BTCUSD,1677629280000,2023-03-01 00:08:00,23142.08,23157.38,23139.7,23144.32,3.00384,False,0,none
BTCUSD,1677629340000,2023-03-01 00:09:00,23140.63,23140.63,23123.56,23124.62,4.3654,False,0,none
BTCUSD,1677629400000,2023-03-01 00:10:00,23129.49,23148.67,23123.59,23128.94,4.72338,False,0,none
BTCUSD,1677629460000,2023-03-01 00:11:00,23128.32,23139.39,23123.5,23137.32,2.19796,False,0,none
BTCUSD,1677629520000,2023-03-01 00:12:00,23138.58,23168.15,23138.58,23164.28,4.86081,False,0,none
BTCUSD,1677629580000,2023-03-01 00:13:00,23161.54,23172.86,23160.0,23168.2,2.11643,False,0,none
BTCUSD,1677629640000,2023-03-01 00:14:00,23166.55,23171.53,23157.75,23165.1,1.53898,False,0,none
BTCUSD,1677629700000,2023-03-01 00:15:00,23167.43,23177.25,23164.77,23166.79,4.6548,False,0,none
BTCUSD,1677629760000,2023-03-01 00:16:00,23167.36,23173.92,23163.31,23171.71,2.96441,False,0,none
BTCUSD,1677629820000,2023-03-01 00:17:00,23175.0,23185.0,23172.26,23182.69,1.38543,False,0,none
BTCUSD,1677629880000,2023-03-01 00:18:00,23178.47,23181.59,23173.43,23180.0,1.31337,False,0,none
BTCUSD,1677629940000,2023-03-01 00:19:00,23182.64,23187.49,23179.11,23187.49,2.02551,False,0,none
BTCUSD,1677630000000,2023-03-01 00:20:00,23186.35,23188.06,23175.56,23188.06,2.49893,False,0,none
BTCUSD,1677630060000,2023-03-01 00:21:00,23188.05,23204.15,23188.05,23202.86,1.34285,False,0,none
BTCUSD,1677630120000,2023-03-01 00:22:00,23200.0,23221.57,23199.05,23200.88,8.63337,False,0,none
BTCUSD,1677630180000,2023-03-01 00:23:00,23199.85,23203.16,23193.11,23193.72,2.42643,False,0,none
BTCUSD,1677630240000,2023-03-01 00:24:00,23192.23,23216.78,23192.23,23206.55,3.89999,False,0,none
BTCUSD,1677630300000,2023-03-01 00:25:00,23206.54,23214.0,23188.98,23192.27,7.20585,False,0,none
BTCUSD,1677630360000,2023-03-01 00:26:00,23191.84,23211.21,23191.84,23203.6,7.36223,False,0,none
BTCUSD,1677630420000,2023-03-01 00:27:00,23203.6,23205.73,23190.84,23195.72,4.8517,False,0,none
BTCUSD,1677630480000,2023-03-01 00:28:00,23195.74,23196.51,23182.86,23183.36,2.44038,False,0,none
BTCUSD,1677630540000,2023-03-01 00:29:00,23183.65,23190.68,23171.84,23179.04,3.4053,False,0,none
BTCUSD,1677630600000,2023-03-01 00:30:00,23177.71,23189.52,23173.39,23189.52,2.03137,False,0,none
BTCUSD,1677630660000,2023-03-01 00:31:00,23189.5,23201.8,23185.63,23198.6,0.37907,False,0,none
BTCUSD,1677630720000,2023-03-01 00:32:00,23196.24,23224.97,23194.53,23205.78,3.84148,False,0,none
BTCUSD,1677630780000,2023-03-01 00:33:00,23206.21,23220.47,23202.65,23205.13,1.97848,False,0,none
BTCUSD,1677630840000,2023-03-01 00:34:00,23202.58,23204.87,23194.45,23204.87,0.7041,False,0,none
BTCUSD,1677630900000,2023-03-01 00:35:00,23200.87,23211.62,23197.82,23198.51,0.9817,False,0,none
BTCUSD,1677630960000,2023-03-01 00:36:00,23199.36,23205.58,23184.85,23191.72,2.05746,False,0,none
BTCUSD,1677631020000,2023-03-01 00:37:00,23186.89,23200.07,23183.33,23197.08,0.92957,False,0,none
BTCUSD,1677631080000,2023-03-01 00:38:00,23195.18,23200.35,23195.11,23199.36,0.1007,False,0,none
BTCUSD,1677631140000,2023-03-01 00:39:00,23197.3,23197.31,23185.72,23191.08,0.5893,False,0,none
BTCUSD,1677631200000,2023-03-01 00:40:00,23186.88,23191.19,23177.63,23184.76,1.56848,False,0,none
BTCUSD,1677631260000,2023-03-01 00:41:00,23183.26,23185.22,23180.28,23181.11,0.20406,False,0,none
BTCUSD,1677631320000,2023-03-01 00:42:00,23183.82,23195.05,23183.82,23193.09,1.31817,False,0,none
BTCUSD,1677631380000,2023-03-01 00:43:00,23196.49,23196.49,23158.19,23158.59,3.80168,False,0,none
BTCUSD,1677631440000,2023-03-01 00:44:00,23157.27,23163.81,23144.28,23148.72,6.73919,False,0,none
BTCUSD,1677631500000,2023-03-01 00:45:00,23147.42,23150.12,23137.49,23148.68,4.9243,False,0,none
BTCUSD,1677631560000,2023-03-01 00:46:00,23148.14,23154.25,23137.11,23141.55,2.97705,False,0,none
BTCUSD,1677631620000,2023-03-01 00:47:00,23141.33,23145.18,23130.72,23132.55,2.74936,False,0,none
BTCUSD,1677631680000,2023-03-01 00:48:00,23129.99,23131.38,23114.57,23120.96,5.75565,False,0,none
BTCUSD,1677631740000,2023-03-01 00:49:00,23121.02,23122.66,23091.91,23097.12,8.5856,False,0,none
BTCUSD,1677631800000,2023-03-01 00:50:00,23097.63,23101.4,23056.64,23066.93,11.94829,False,0,none
BTCUSD,1677631860000,2023-03-01 00:51:00,23068.18,23094.46,23060.0,23060.0,9.82147,False,0,none
BTCUSD,1677631920000,2023-03-01 00:52:00,23060.52,23069.6,23050.0,23059.32,8.97917,False,0,none
BTCUSD,1677631980000,2023-03-01 00:53:00,23065.21,23075.14,23024.07,23042.78,24.88513,False,0,none
BTCUSD,1677632040000,2023-03-01 00:54:00,23034.85,23057.94,23031.77,23032.96,8.191,False,0,none
BTCUSD,1677632100000,2023-03-01 00:55:00,23032.37,23047.82,23022.6,23037.97,12.9236,False,0,none
BTCUSD,1677632160000,2023-03-01 00:56:00,23039.01,23066.43,23032.7,23066.43,5.04988,False,0,none
BTCUSD,1677632220000,2023-03-01 00:57:00,23065.56,23110.58,23060.61,23108.27,18.02885,False,0,none
BTCUSD,1677632280000,2023-03-01 00:58:00,23107.7,23117.79,23087.58,23095.44,10.45607,False,0,none
BTCUSD,1677632340000,2023-03-01 00:59:00,23092.2,23104.87,23087.25,23102.24,2.32657,False,0,none
BTCUSD,1677632400000,2023-03-01 01:00:00,23104.87,23107.32,23079.38,23080.32,2.33775,False,0,none
BTCUSD,1677632460000,2023-03-01 01:01:00,23080.73,23120.16,23080.73,23119.25,3.94103,False,0,none
