timestamp,pair,close,volume
2023-01-01 00:00:00,BTC/USDT,16524.41,0.000735
2023-01-01 00:01:00,BTC/USDT,16529.53,0.004189
2023-01-01 00:02:00,BTC/USDT,16521.86,0.641744
2023-01-01 00:03:00,BTC/USDT,16517.48,0.524451
2023-01-01 00:04:00,BTC/USDT,16518.58,0.200164
2023-01-01 00:05:00,BTC/USDT,16522.79,0.019308
2023-01-01 00:06:00,BTC/USDT,16526.06,0.30311
2023-01-01 00:07:00,BTC/USDT,16517.96,0.090763
2023-01-01 00:08:00,BTC/USDT,16512.53,0.094321
2023-01-01 00:09:00,BTC/USDT,16509.41,0.195016
2023-01-01 00:10:00,BTC/USDT,16507.98,0.395993
2023-01-01 00:11:00,BTC/USDT,16513.81,0.068378
2023-01-01 00:12:00,BTC/USDT,16504.77,0.082313
2023-01-01 00:13:00,BTC/USDT,16509.77,0.090209
2023-01-01 00:14:00,BTC/USDT,16502.66,0.082969
2023-01-01 00:15:00,BTC/USDT,16504.26,0.187564
2023-01-01 00:16:00,BTC/USDT,16502.94,0.085264
2023-01-01 00:17:00,BTC/USDT,16505.4,0.203969
2023-01-01 00:18:00,BTC/USDT,16515.86,0.782335
2023-01-01 00:19:00,BTC/USDT,16520.74,0.876894
2023-01-01 00:20:00,BTC/USDT,16522.03,0.266798
2023-01-01 00:21:00,BTC/USDT,16525.95,0.519222
2023-01-01 00:22:00,BTC/USDT,16519.65,0.546608
2023-01-01 00:23:00,BTC/USDT,16527.64,0.111333
2023-01-01 00:24:00,BTC/USDT,16525.13,0.09135
2023-01-01 00:25:00,BTC/USDT,16527.23,0.087134
2023-01-01 00:26:00,BTC/USDT,16524.68,0.588329
2023-01-01 00:27:00,BTC/USDT,16530.27,0.005946
2023-01-01 00:28:00,BTC/USDT,16532.52,0.08861
2023-01-01 00:29:00,BTC/USDT,16532.46,0.089313
2023-01-01 00:30:00,BTC/USDT,16526.84,0.628571
2023-01-01 00:31:00,BTC/USDT,16526.81,0.088704
2023-01-01 00:32:00,BTC/USDT,16521.5,0.762094
2023-01-01 00:33:00,BTC/USDT,16521.34,0.199898
2023-01-01 00:34:00,BTC/USDT,16520.85,0.071023
2023-01-01 00:35:00,BTC/USDT,16512.18,0.552514
2023-01-01 00:36:00,BTC/USDT,16511.73,0.066019
2023-01-01 00:37:00,BTC/USDT,16505.56,0.408595
2023-01-01 00:38:00,BTC/USDT,16513.04,0.812605
2023-01-01 00:39:00,BTC/USDT,16515.08,0.160735
2023-01-01 00:40:00,BTC/USDT,16518.41,0.332026
2023-01-01 00:41:00,BTC/USDT,16511.11,0.855467
2023-01-01 00:42:00,BTC/USDT,16507.01,0.139255
2023-01-01 00:43:00,BTC/USDT,16512.6,0.131194
2023-01-01 00:44:00,BTC/USDT,16512.68,0.358062
2023-01-01 00:45:00,BTC/USDT,16514.84,0.19872
2023-01-01 00:46:00,BTC/USDT,16514.84,0.0
2023-01-01 00:47:00,BTC/USDT,16517.57,0.001247
2023-01-01 00:48:00,BTC/USDT,16522.87,0.022199
2023-01-01 00:49:00,BTC/USDT,16527.8,0.380672
2023-01-01 00:50:00,BTC/USDT,16525.19,0.370957
2023-01-01 00:51:00,BTC/USDT,16524.42,0.139242
2023-01-01 00:52:00,BTC/USDT,16524.11,0.067466
2023-01-01 00:53:00,BTC/USDT,16524.11,0.0
2023-01-01 00:54:00,BTC/USDT,16526.26,0.001066
2023-01-01 00:55:00,BTC/USDT,16526.26,0.0
2023-01-01 00:56:00,BTC/USDT,16521.81,0.192751
2023-01-01 00:57:00,BTC/USDT,16529.15,2.290438
2023-01-01 00:58:00,BTC/USDT,16521.75,0.123565
2023-01-01 00:59:00,BTC/USDT,16526.09,0.130938
2023-01-01 01:00:00,BTC/USDT,16518.79,0.273301
2023-01-01 01:01:00,BTC/USDT,16518.79,0.0
2023-01-01 01:02:00,BTC/USDT,16528.67,0.480196
2023-01-01 01:03:00,BTC/USDT,16526.27,0.297083
2023-01-01 01:04:00,BTC/USDT,16528.24,0.664183
2023-01-01 01:05:00,BTC/USDT,16526.91,0.137405
2023-01-01 01:06:00,BTC/USDT,16529.56,0.08109
