timestamp,pair,close,volume
2023-01-01 00:00:00,ETH/USDT,1195.94,0.33477
2023-01-01 00:01:00,ETH/USDT,1195.76,1.96553
2023-01-01 00:02:00,ETH/USDT,1195.59,1.09162
2023-01-01 00:03:00,ETH/USDT,1195.49,0.02629
2023-01-01 00:04:00,ETH/USDT,1195.87,3.76226
2023-01-01 00:05:00,ETH/USDT,1196.21,0.01126
2023-01-01 00:06:00,ETH/USDT,1196.25,5.92147
2023-01-01 00:07:00,ETH/USDT,1196.22,0.0836
2023-01-01 00:08:00,ETH/USDT,1195.73,2.49592
2023-01-01 00:09:00,ETH/USDT,1195.25,2.8746
2023-01-01 00:10:00,ETH/USDT,1195.44,2.54365
2023-01-01 00:11:00,ETH/USDT,1195.44,0.0
2023-01-01 00:12:00,ETH/USDT,1195.02,1.10661
2023-01-01 00:13:00,ETH/USDT,1194.92,0.90572
2023-01-01 00:14:00,ETH/USDT,1194.46,0.80233
2023-01-01 00:15:00,ETH/USDT,1194.38,5.31386
2023-01-01 00:16:00,ETH/USDT,1194.55,2.3577
2023-01-01 00:17:00,ETH/USDT,1195.1,1.09257
2023-01-01 00:18:00,ETH/USDT,1195.36,3.44287
2023-01-01 00:19:00,ETH/USDT,1195.7,1.04659
2023-01-01 00:20:00,ETH/USDT,1196.01,0.83626
2023-01-01 00:21:00,ETH/USDT,1195.95,0.97059
2023-01-01 00:22:00,ETH/USDT,1196.05,2.03341
2023-01-01 00:23:00,ETH/USDT,1196.09,0.95675
2023-01-01 00:24:00,ETH/USDT,1196.03,2.6792
2023-01-01 00:25:00,ETH/USDT,1196.11,0.91461
2023-01-01 00:26:00,ETH/USDT,1196.48,2.06142
2023-01-01 00:27:00,ETH/USDT,1196.48,0.0
2023-01-01 00:28:00,ETH/USDT,1196.48,0.0
2023-01-01 00:29:00,ETH/USDT,1196.45,0.95418
2023-01-01 00:30:00,ETH/USDT,1195.97,1.89999
2023-01-01 00:31:00,ETH/USDT,1195.97,0.0
2023-01-01 00:32:00,ETH/USDT,1195.64,1.14241
2023-01-01 00:33:00,ETH/USDT,1195.64,0.0
2023-01-01 00:34:00,ETH/USDT,1194.34,7.14618
2023-01-01 00:35:00,ETH/USDT,1194.0,10.32018
2023-01-01 00:36:00,ETH/USDT,1193.62,10.70639
2023-01-01 00:37:00,ETH/USDT,1193.01,10.04517
2023-01-01 00:38:00,ETH/USDT,1193.53,2.56461
2023-01-01 00:39:00,ETH/USDT,1193.99,3.90769
2023-01-01 00:40:00,ETH/USDT,1193.92,0.02855
2023-01-01 00:41:00,ETH/USDT,1193.12,3.79223
2023-01-01 00:42:00,ETH/USDT,1193.12,0.0
2023-01-01 00:43:00,ETH/USDT,1193.12,0.0
2023-01-01 00:44:00,ETH/USDT,1193.31,9.12034
2023-01-01 00:45:00,ETH/USDT,1193.31,0.0
2023-01-01 00:46:00,ETH/USDT,1193.85,0.0444
